訓練年份,測試年份,最佳平均報酬率(%),最佳K值,特徵數量,選中股票數量,最佳特徵組合
1997,1998,39.51041944444445,21,2,36,"市值(百萬元), M流動比率"
1998,1999,-30.824515384615385,21,2,13,"股價淨值比, 資產報酬率ROA"
1999,2000,52.874036263736265,15,2,91,"M淨值報酬率─稅後, 利潤邊際NPM"
2000,2001,55.28198,21,1,5,收盤價(元)_年
2001,2002,44.97391897727273,5,2,88,"股價淨值比, 營業利益率OPM"
2002,2003,30.42315384615385,21,1,13,收盤價(元)_年
2003,2004,22.29270027272727,1,2,110,"市值(百萬元), 股價營收比"
2004,2005,61.0357,21,2,1,"市值(百萬元), 負債/淨值比"
2005,2006,25.333565517241375,21,1,58,股價營收比
2006,2007,-43.63144490566038,15,1,53,M營業利益成長率
2007,2008,120.35298125000001,5,1,64,利潤邊際NPM
