test_year,train_year,train_fitness,test_return,test_std,test_n_selected
1998,1997,7.761839999999998,2.498930000000001,59.20374470599052,10
1999,1998,54.34031000000001,-51.74392,26.419322569051612,10
2000,1999,-18.5807,17.56751,54.463316369983374,10
2001,2000,93.60319999999999,-1.9797000000000005,61.43333185457223,10
2002,2001,87.09035999999999,30.51609,54.092513930773265,10
2003,2002,89.10147,20.59256,35.24536761145215,10
2004,2003,42.93212,11.437050000000001,57.43742344810132,10
2005,2004,53.457214,65.19136999999999,54.20357446997476,10
2006,2005,100.69428,3.8525100000000014,48.43452581038551,10
2007,2006,41.40668,-46.98649,13.139692833734737,10
2008,2007,-32.823550000000004,102.49475,96.07025747256274,10
