test_year,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15
1998,0.2901960784313726,0.047058823529411764,0.7803921568627451,0.1843137254901961,0.5450980392156862,0.00392156862745098,0.011764705882352941,0.6666666666666666,0.0196078431372549,0.9411764705882353,0.11372549019607843,0.12156862745098039,0.5803921568627451,0.35294117647058826,0.6980392156862745,0.06274509803921569
1999,0.41568627450980394,0.1843137254901961,0.29411764705882354,0.4,0.9764705882352941,0.14901960784313725,0.6352941176470588,0.611764705882353,0.25098039215686274,0.7333333333333333,0.7490196078431373,0.01568627450980392,0.03529411764705882,0.06274509803921569,0.6666666666666666,0.3568627450980392
2000,0.07058823529411765,0.6078431372549019,0.4,0.20784313725490197,0.4745098039215686,0.00392156862745098,0.18823529411764706,0.023529411764705882,0.043137254901960784,0.6588235294117647,0.34901960784313724,0.01568627450980392,0.9882352941176471,0.47843137254901963,0.058823529411764705,0.47843137254901963
2001,0.8117647058823529,0.14901960784313725,0.7490196078431373,0.2196078431372549,0.9333333333333333,0.00784313725490196,0.07058823529411765,0.7176470588235294,0.1843137254901961,0.5215686274509804,0.1843137254901961,0.09803921568627451,0.06666666666666667,0.9607843137254902,0.07450980392156863,0.0392156862745098
2002,0.24313725490196078,0.8862745098039215,0.8627450980392157,0.6980392156862745,0.9333333333333333,0.03529411764705882,0.27058823529411763,0.07450980392156863,0.07058823529411765,0.9568627450980393,0.20392156862745098,0.803921568627451,0.7686274509803922,0.0196078431372549,0.07450980392156863,0.7529411764705882
2003,0.7019607843137254,0.7529411764705882,0.011764705882352941,0.9215686274509803,0.8745098039215686,0.23529411764705882,0.7215686274509804,0.011764705882352941,0.8588235294117647,0.9411764705882353,0.15294117647058825,0.18823529411764706,0.01568627450980392,0.16862745098039217,0.07058823529411765,0.6509803921568628
2004,0.34901960784313724,0.5686274509803921,0.984313725490196,0.7803921568627451,0.10196078431372549,0.49411764705882355,0.596078431372549,0.6196078431372549,0.23921568627450981,0.07058823529411765,0.611764705882353,0.7098039215686275,0.21568627450980393,0.06666666666666667,0.00784313725490196,0.34901960784313724
2005,0.5176470588235295,0.03529411764705882,0.5019607843137255,0.9803921568627451,0.9254901960784314,0.43529411764705883,0.0784313725490196,0.00392156862745098,0.5411764705882353,0.13725490196078433,0.7529411764705882,0.023529411764705882,0.058823529411764705,0.25098039215686274,0.0196078431372549,0.07450980392156863
2006,0.8901960784313725,0.9372549019607843,0.027450980392156862,0.21176470588235294,0.7607843137254902,0.047058823529411764,0.24705882352941178,0.4627450980392157,0.00784313725490196,0.6431372549019608,0.8862745098039215,0.8509803921568627,0.19607843137254902,0.7803921568627451,0.0196078431372549,0.07058823529411765
2007,0.8745098039215686,0.7607843137254902,0.1411764705882353,0.9686274509803922,1.0,0.6313725490196078,0.6392156862745098,0.09803921568627451,0.592156862745098,0.10980392156862745,0.7686274509803922,0.3176470588235294,0.01568627450980392,0.23921568627450981,0.07450980392156863,0.09803921568627451
2008,0.8470588235294118,0.00784313725490196,0.6274509803921569,0.3686274509803922,0.807843137254902,0.09411764705882353,0.0392156862745098,0.4235294117647059,0.1803921568627451,0.0392156862745098,0.7058823529411765,0.8588235294117647,0.5176470588235295,0.011764705882352941,0.00784313725490196,0.0196078431372549
