test_year,feature_name
1998,市值(百萬元)
1998,收盤價(元)_年
1998,Unknown masked parameter
1998,股價淨值比
1998,股價營收比
1998,M淨值報酬率─稅後
1998,資產報酬率ROA
1998,營業利益率OPM
1998,利潤邊際NPM
1998,負債/淨值比
1998,M流動比率
1998,M速動比率
1998,M存貨週轉率 (次)
1998,M應收帳款週轉次
1998,M營業利益成長率
1998,M稅後淨利成長率
1999,市值(百萬元)
1999,收盤價(元)_年
1999,Unknown masked parameter
1999,股價淨值比
1999,股價營收比
1999,M淨值報酬率─稅後
1999,資產報酬率ROA
1999,營業利益率OPM
1999,利潤邊際NPM
1999,負債/淨值比
1999,M流動比率
1999,M速動比率
1999,M存貨週轉率 (次)
1999,M應收帳款週轉次
1999,M營業利益成長率
1999,M稅後淨利成長率
2000,市值(百萬元)
2000,收盤價(元)_年
2000,Unknown masked parameter
2000,股價淨值比
2000,股價營收比
2000,M淨值報酬率─稅後
2000,資產報酬率ROA
2000,營業利益率OPM
2000,利潤邊際NPM
2000,負債/淨值比
2000,M流動比率
2000,M速動比率
2000,M存貨週轉率 (次)
2000,M應收帳款週轉次
2000,M營業利益成長率
2000,M稅後淨利成長率
2001,市值(百萬元)
2001,收盤價(元)_年
2001,Unknown masked parameter
2001,股價淨值比
2001,股價營收比
2001,M淨值報酬率─稅後
2001,資產報酬率ROA
2001,營業利益率OPM
2001,利潤邊際NPM
2001,負債/淨值比
2001,M流動比率
2001,M速動比率
2001,M存貨週轉率 (次)
2001,M應收帳款週轉次
2001,M營業利益成長率
2001,M稅後淨利成長率
2002,市值(百萬元)
2002,收盤價(元)_年
2002,Unknown masked parameter
2002,股價淨值比
2002,股價營收比
2002,M淨值報酬率─稅後
2002,資產報酬率ROA
2002,營業利益率OPM
2002,利潤邊際NPM
2002,負債/淨值比
2002,M流動比率
2002,M速動比率
2002,M存貨週轉率 (次)
2002,M應收帳款週轉次
2002,M營業利益成長率
2002,M稅後淨利成長率
2003,市值(百萬元)
2003,收盤價(元)_年
2003,Unknown masked parameter
2003,股價淨值比
2003,股價營收比
2003,M淨值報酬率─稅後
2003,資產報酬率ROA
2003,營業利益率OPM
2003,利潤邊際NPM
2003,負債/淨值比
2003,M流動比率
2003,M速動比率
2003,M存貨週轉率 (次)
2003,M應收帳款週轉次
2003,M營業利益成長率
2003,M稅後淨利成長率
2004,市值(百萬元)
2004,收盤價(元)_年
2004,Unknown masked parameter
2004,股價淨值比
2004,股價營收比
2004,M淨值報酬率─稅後
2004,資產報酬率ROA
2004,營業利益率OPM
2004,利潤邊際NPM
2004,負債/淨值比
2004,M流動比率
2004,M速動比率
2004,M存貨週轉率 (次)
2004,M應收帳款週轉次
2004,M營業利益成長率
2004,M稅後淨利成長率
2005,市值(百萬元)
2005,收盤價(元)_年
2005,Unknown masked parameter
2005,股價淨值比
2005,股價營收比
2005,M淨值報酬率─稅後
2005,資產報酬率ROA
2005,營業利益率OPM
2005,利潤邊際NPM
2005,負債/淨值比
2005,M流動比率
2005,M速動比率
2005,M存貨週轉率 (次)
2005,M應收帳款週轉次
2005,M營業利益成長率
2005,M稅後淨利成長率
2006,市值(百萬元)
2006,收盤價(元)_年
2006,Unknown masked parameter
2006,股價淨值比
2006,股價營收比
2006,M淨值報酬率─稅後
2006,資產報酬率ROA
2006,營業利益率OPM
2006,利潤邊際NPM
2006,負債/淨值比
2006,M流動比率
2006,M速動比率
2006,M存貨週轉率 (次)
2006,M應收帳款週轉次
2006,M營業利益成長率
2006,M稅後淨利成長率
2007,市值(百萬元)
2007,收盤價(元)_年
2007,Unknown masked parameter
2007,股價淨值比
2007,股價營收比
2007,M淨值報酬率─稅後
2007,資產報酬率ROA
2007,營業利益率OPM
2007,利潤邊際NPM
2007,負債/淨值比
2007,M流動比率
2007,M速動比率
2007,M存貨週轉率 (次)
2007,M應收帳款週轉次
2007,M營業利益成長率
2007,M稅後淨利成長率
2008,市值(百萬元)
2008,收盤價(元)_年
2008,Unknown masked parameter
2008,股價淨值比
2008,股價營收比
2008,M淨值報酬率─稅後
2008,資產報酬率ROA
2008,營業利益率OPM
2008,利潤邊際NPM
2008,負債/淨值比
2008,M流動比率
2008,M速動比率
2008,M存貨週轉率 (次)
2008,M應收帳款週轉次
2008,M營業利益成長率
2008,M稅後淨利成長率
